timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734087817050,219,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,216,1,1,http://localhost:5555/api/db_test/insert/postgres,219,0,3
1734087817269,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,159016,174,1,1,http://localhost:5555/api/db_test/query/postgres,11,0,0
1734087817282,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,262,237,1,1,http://localhost:5555/api/db_test/update/postgres,6,0,1
1734087817289,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,246,216,1,1,http://localhost:5555/api/db_test/delete/postgres,3,0,0
1734087817292,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,216,2,2,http://localhost:5555/api/db_test/insert/postgres,68,0,1
1734087817360,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,238199,174,2,2,http://localhost:5555/api/db_test/query/postgres,16,0,1
1734087817378,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,262,237,2,2,http://localhost:5555/api/db_test/update/postgres,7,0,1
1734087817385,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,246,216,2,2,http://localhost:5555/api/db_test/delete/postgres,5,0,1
1734087817353,125,HTTP Request,200,OK,Thread Group 1-2,text,true,,253,216,2,2,http://localhost:5555/api/db_test/insert/postgres,125,0,0
1734087817479,22,HTTP Request,200,OK,Thread Group 1-2,text,true,,320781,174,2,2,http://localhost:5555/api/db_test/query/postgres,16,0,0
1734087817502,24,HTTP Request,200,OK,Thread Group 1-2,text,true,,262,237,2,2,http://localhost:5555/api/db_test/update/postgres,24,0,1
1734087817391,135,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,216,2,2,http://localhost:5555/api/db_test/insert/postgres,135,0,0
1734087817526,18,HTTP Request,200,OK,Thread Group 1-2,text,true,,246,216,2,2,http://localhost:5555/api/db_test/delete/postgres,18,0,1
1734087817526,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,480675,174,2,2,http://localhost:5555/api/db_test/query/postgres,44,0,1
1734087817602,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,262,237,2,2,http://localhost:5555/api/db_test/update/postgres,6,0,1
1734087817608,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,246,216,2,2,http://localhost:5555/api/db_test/delete/postgres,4,0,1
1734087817544,131,HTTP Request,200,OK,Thread Group 1-2,text,true,,253,216,3,3,http://localhost:5555/api/db_test/insert/postgres,131,0,0
1734087817675,38,HTTP Request,200,OK,Thread Group 1-2,text,true,,484078,174,3,3,http://localhost:5555/api/db_test/query/postgres,32,0,0
1734087817713,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,262,237,3,3,http://localhost:5555/api/db_test/update/postgres,7,0,1
1734087817721,4,HTTP Request,200,OK,Thread Group 1-2,text,true,,246,216,3,3,http://localhost:5555/api/db_test/delete/postgres,4,0,0
1734087817612,144,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,216,3,3,http://localhost:5555/api/db_test/insert/postgres,144,0,1
1734087817756,39,HTTP Request,200,OK,Thread Group 1-1,text,true,,564139,174,3,3,http://localhost:5555/api/db_test/query/postgres,27,0,0
1734087817795,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,262,237,3,3,http://localhost:5555/api/db_test/update/postgres,7,0,0
1734087817802,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,246,216,3,3,http://localhost:5555/api/db_test/delete/postgres,5,0,1
1734087817653,187,HTTP Request,200,OK,Thread Group 1-3,text,true,,253,216,3,3,http://localhost:5555/api/db_test/insert/postgres,187,0,1
1734087817840,43,HTTP Request,200,OK,Thread Group 1-3,text,true,,645152,174,3,3,http://localhost:5555/api/db_test/query/postgres,33,0,1
1734087817883,8,HTTP Request,200,OK,Thread Group 1-3,text,true,,262,237,3,3,http://localhost:5555/api/db_test/update/postgres,8,0,1
1734087817891,4,HTTP Request,200,OK,Thread Group 1-3,text,true,,246,216,3,3,http://localhost:5555/api/db_test/delete/postgres,4,0,0
1734087817726,180,HTTP Request,200,OK,Thread Group 1-2,text,true,,253,216,3,3,http://localhost:5555/api/db_test/insert/postgres,180,0,0
1734087817906,49,HTTP Request,200,OK,Thread Group 1-2,text,true,,728092,174,4,4,http://localhost:5555/api/db_test/query/postgres,33,0,0
1734087817955,53,HTTP Request,200,OK,Thread Group 1-2,text,true,,262,237,4,4,http://localhost:5555/api/db_test/update/postgres,53,0,1
1734087818008,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,246,216,4,4,http://localhost:5555/api/db_test/delete/postgres,7,0,0
1734087817807,234,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,216,4,4,http://localhost:5555/api/db_test/insert/postgres,234,0,0
1734087818041,49,HTTP Request,200,OK,Thread Group 1-1,text,true,,808775,174,4,4,http://localhost:5555/api/db_test/query/postgres,36,0,0
1734087818091,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,262,237,4,4,http://localhost:5555/api/db_test/update/postgres,6,0,0
1734087818097,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,246,216,4,4,http://localhost:5555/api/db_test/delete/postgres,4,0,0
1734087817895,247,HTTP Request,200,OK,Thread Group 1-3,text,true,,253,216,4,4,http://localhost:5555/api/db_test/insert/postgres,247,0,1
1734087818142,48,HTTP Request,200,OK,Thread Group 1-3,text,true,,891199,174,4,4,http://localhost:5555/api/db_test/query/postgres,36,0,1
1734087818190,8,HTTP Request,200,OK,Thread Group 1-3,text,true,,262,237,4,4,http://localhost:5555/api/db_test/update/postgres,8,0,0
1734087818198,6,HTTP Request,200,OK,Thread Group 1-3,text,true,,246,216,4,4,http://localhost:5555/api/db_test/delete/postgres,6,0,0
1734087817953,260,HTTP Request,200,OK,Thread Group 1-4,text,true,,253,216,4,4,http://localhost:5555/api/db_test/insert/postgres,260,0,1
1734087818015,251,HTTP Request,200,OK,Thread Group 1-2,text,true,,253,216,5,5,http://localhost:5555/api/db_test/insert/postgres,251,0,0
1734087818214,55,HTTP Request,200,OK,Thread Group 1-4,text,true,,972220,174,5,5,http://localhost:5555/api/db_test/query/postgres,38,0,0
1734087818269,94,HTTP Request,200,OK,Thread Group 1-4,text,true,,262,237,5,5,http://localhost:5555/api/db_test/update/postgres,94,0,1
1734087818363,87,HTTP Request,200,OK,Thread Group 1-4,text,true,,246,216,5,5,http://localhost:5555/api/db_test/delete/postgres,87,0,0
1734087818102,350,HTTP Request,200,OK,Thread Group 1-1,text,true,,253,216,5,5,http://localhost:5555/api/db_test/insert/postgres,350,0,0
1734087818266,205,HTTP Request,200,OK,Thread Group 1-2,text,true,,1132933,174,5,5,http://localhost:5555/api/db_test/query/postgres,132,0,0
1734087818471,57,HTTP Request,200,OK,Thread Group 1-2,text,true,,262,237,5,5,http://localhost:5555/api/db_test/update/postgres,57,0,0
